Num,Num_Back,Num_SQ,NUM_BACK_SQ
597,1122002,2002211,1258888488004,4008848888521
598,1130001,1000311,1276902260001,1000622096721
599,1130011,1100311,1276924860121,1210684296721
600,1200001,1000021,1440002400001,1000042000441
601,1200002,2000021,1440004800004,4000084000441
602,1200011,1100021,1440026400121,1210046200441
603,1200012,2100021,1440028800144,4410088200441
604,1200101,1010021,1440242410201,1020142420441
605,1200102,2010021,1440244810404,4040184420441
606,1200111,1110021,1440266412321,1232146620441
607,1200112,2110021,1440268812544,4452188620441
608,1200201,1020021,1440482440401,1040442840441
609,1200202,2020021,1440484840804,4080484840441
610,1201001,1001021,1442403402001,1002043042441
611,1201002,2001021,1442405804004,4004085042441
612,1201011,1101021,1442427422121,1212247242441
613,1201012,2101021,1442429824144,4414289242441
614,1201101,1011021,1442643612201,1022163462441
615,1201111,1111021,1442667634321,1234367662441
616,1201201,1021021,1442883842401,1042483882441
617,1202001,1002021,1444806404001,1004046084441
618,1202002,2002021,1444808808004,4008088084441
619,1210001,1000121,1464102420001,1000242014641
620,1210002,2000121,1464104840004,4000484014641
621,1210011,1100121,1464126620121,1210266214641
622,1210101,1010121,1464344430201,1020344434641
623,1210102,2010121,1464346850404,4040586434641
624,1210111,1110121,1464368632321,1232368634641
625,1210201,1020121,1464586460401,1040646854641
626,1210202,2020121,1464588880804,4080888854641
627,1211001,1001121,1466523422001,1002243256641
628,1211002,2001121,1466525844004,4004485256641
629,1211011,1101121,1466547642121,1212467456641
630,1211101,1011121,1466765632201,1022365676641
631,1211111,1111121,1466789854321,1234589876641
632,1212001,1002121,1468946424001,1004246498641
633,1212002,2002121,1468948848004,4008488498641
634,1220001,1000221,1488402440001,1000442048841
635,1220002,2000221,1488404880004,4000884048841
636,1220011,1100221,1488426840121,1210486248841
637,1220101,1010221,1488646450201,1020546468841
638,1220102,2010221,1488648890404,4040988468841
639,1300001,1000031,1690002600001,1000062000961
640,1300011,1100031,1690028600121,1210068200961
641,1300101,1010031,1690262610201,1020162620961
642,1300111,1110031,1690288612321,1232168820961
643,1301001,1001031,1692603602001,1002063062961
644,1301011,1101031,1692629622121,1212269262961
645,1301101,1011031,1692863812201,1022183682961
646,1301111,1111031,1692889834321,1234389882961
647,2000001,1000002,4000004000001,1000004000004
648,2000002,2000002,4000008000004,4000008000004
649,2000011,1100002,4000044000121,1210004400004
650,2000012,2100002,4000048000144,4410008400004
651,2000021,1200002,4000084000441,1440004800004
652,2000022,2200002,4000088000484,4840008800004
653,2000101,1010002,4000404010201,1020104040004
654,2000102,2010002,4000408010404,4040108040004
655,2000111,1110002,4000444012321,1232104440004
656,2000112,2110002,4000448012544,4452108440004
657,2000121,1210002,4000484014641,1464104840004
658,2000122,2210002,4000488014884,4884108840004
659,2000201,1020002,4000804040401,1040404080004
660,2000202,2020002,4000808040804,4080408080004
661,2000211,1120002,4000844044521,1254404480004
662,2000212,2120002,4000848044944,4494408480004
663,2000221,1220002,4000884048841,1488404880004
664,2001001,1001002,4004005002001,1002005004004
665,2001002,2001002,4004009004004,4004009004004
666,2001011,1101002,4004045022121,1212205404004
667,2001012,2101002,4004049024144,4414209404004
668,2001021,1201002,4004085042441,1442405804004
669,2001022,2201002,4004089044484,4844409804004
670,2001101,1011002,4004405212201,1022125044004
671,2001102,2011002,4004409214404,4044129044004
672,2001111,1111002,4004445234321,1234325444004
673,2001112,2111002,4004449236544,4456329444004
674,2001121,1211002,4004485256641,1466525844004
675,2001122,2211002,4004489258884,4888529844004
676,2001201,1021002,4004805442401,1042445084004
677,2001202,2021002,4004809444804,4084449084004
678,2001211,1121002,4004845466521,1256645484004
679,2001212,2121002,4004849468944,4498649484004
