,Num,Num_Back,Num_SQ,NUM_BACK_SQ
382,1001011,1101001,1002023022121,1212203202001
383,1001012,2101001,1002025024144,4414205202001
384,1001013,3101001,1002027026169,9616207202001
385,1001021,1201001,1002043042441,1442403402001
386,1001022,2201001,1002045044484,4844405402001
387,1001031,1301001,1002063062961,1692603602001
388,1001101,1011001,1002203212201,1022123022001
389,1001102,2011001,1002205214404,4044125022001
390,1001103,3011001,1002207216609,9066127022001
391,1001111,1111001,1002223234321,1234323222001
392,1001112,2111001,1002225236544,4456325222001
393,1001113,3111001,1002227238769,9678327222001
394,1001121,1211001,1002243256641,1466523422001
395,1001122,2211001,1002245258884,4888525422001
396,1001201,1021001,1002403442401,1042443042001
397,1001202,2021001,1002405444804,4084445042001
398,1001211,1121001,1002423466521,1256643242001
399,1001212,2121001,1002425468944,4498645242001
400,1001301,1031001,1002603692601,1062963062001
401,1002001,1002001,1004006004001,1004006004001
402,1002002,2002001,1004008008004,4008008004001
403,1002011,1102001,1004026044121,1214406204001
404,1002012,2102001,1004028048144,4418408204001
405,1002021,1202001,1004046084441,1444806404001
406,1002022,2202001,1004048088484,4848808404001
407,1002101,1012001,1004206414201,1024146024001
408,1002102,2012001,1004208418404,4048148024001
409,1002111,1112001,1004226456321,1236546224001
410,1002121,1212001,1004246498641,1468946424001
411,1002201,1022001,1004406844401,1044486044001
412,1002202,2022001,1004408848804,4088488044001
413,1002211,1122001,1004426888521,1258886244001
414,1010001,1000101,1020102020001,1000202010201
415,1010002,2000101,1020104040004,4000404010201
416,1010003,3000101,1020106060009,9000606010201
417,1010011,1100101,1020122220121,1210222210201
418,1010012,2100101,1020124240144,4410424210201
419,1010013,3100101,1020126260169,9610626210201
420,1010021,1200101,1020142420441,1440242410201
421,1010022,2200101,1020144440484,4840444410201
422,1010031,1300101,1020162620961,1690262610201
423,1010101,1010101,1020304030201,1020304030201
424,1010102,2010101,1020306050404,4040506030201
425,1010103,3010101,1020308070609,9060708030201
426,1010111,1110101,1020324232321,1232324230201
427,1010112,2110101,1020326252544,4452526230201
428,1010113,3110101,1020328272769,9672728230201
429,1010121,1210101,1020344434641,1464344430201
430,1010122,2210101,1020346454884,4884546430201
431,1010201,1020101,1020506060401,1040606050201
432,1010202,2020101,1020508080804,4080808050201
433,1010211,1120101,1020526264521,1254626250201
434,1010212,2120101,1020528284944,4494828250201
435,1010221,1220101,1020546468841,1488646450201
436,1011001,1001101,1022123022001,1002203212201
437,1011002,2001101,1022125044004,4004405212201
438,1011003,3001101,1022127066009,9006607212201
439,1011011,1101101,1022143242121,1212423412201
440,1011012,2101101,1022145264144,4414625412201
441,1011013,3101101,1022147286169,9616827412201
442,1011021,1201101,1022163462441,1442643612201
443,1011022,2201101,1022165484484,4844845612201
444,1011031,1301101,1022183682961,1692863812201
445,1011101,1011101,1022325232201,1022325232201
446,1011102,2011101,1022327254404,4044527232201
447,1011103,3011101,1022329276609,9066729232201
448,1011111,1111101,1022345454321,1234545432201
449,1011112,2111101,1022347476544,4456747432201
450,1011113,3111101,1022349498769,9678949432201
451,1011121,1211101,1022365676641,1466765632201
452,1011122,2211101,1022367698884,4888967632201
453,1011201,1021101,1022527462401,1042647252201
454,1011202,2021101,1022529484804,4084849252201
455,1011211,1121101,1022547686521,1256867452201
456,1012001,1002101,1024146024001,1004206414201
457,1012002,2002101,1024148048004,4008408414201
458,1012011,1102101,1024166264121,1214626614201
459,1012012,2102101,1024168288144,4418828614201
460,1012101,1012101,1024348434201,1024348434201
461,1012111,1112101,1024368676321,1236768634201
462,1020001,1000201,1040402040001,1000402040401
463,1020002,2000201,1040404080004,4000804040401
464,1020011,1100201,1040422440121,1210442240401
465,1020012,2100201,1040424480144,4410844240401
466,1020021,1200201,1040442840441,1440482440401
467,1020022,2200201,1040444880484,4840884440401
468,1020101,1010201,1040606050201,1020506060401
469,1020102,2010201,1040608090404,4040908060401
470,1020111,1110201,1040626452321,1232546260401
471,1020112,2110201,1040628492544,4452948260401
472,1020121,1210201,1040646854641,1464586460401
473,1020122,2210201,1040648894884,4884988460401
474,1021001,1001201,1042443042001,1002403442401
475,1021002,2001201,1042445084004,4004805442401
476,1021011,1101201,1042463462121,1212643642401
477,1021021,1201201,1042483882441,1442883842401
478,1021101,1011201,1042647252201,1022527462401
479,1021102,2011201,1042649294404,4044929462401
480,1021111,1111201,1042667674321,1234767662401
481,1022001,1002201,1044486044001,1004406844401
482,1022002,2002201,1044488088004,4008808844401
483,1030001,1000301,1060902060001,1000602090601
484,1030011,1100301,1060922660121,1210662290601
485,1031001,1001301,1062963062001,1002603692601
486,1031011,1101301,1062983682121,1212863892601
487,1100001,1000011,1210002200001,1000022000121
488,1100002,2000011,1210004400004,4000044000121
489,1100003,3000011,1210006600009,9000066000121
490,1100011,1100011,1210024200121,1210024200121
491,1100012,2100011,1210026400144,4410046200121
492,1100013,3100011,1210028600169,9610068200121
493,1100021,1200011,1210046200441,1440026400121
494,1100022,2200011,1210048400484,4840048400121
495,1100031,1300011,1210068200961,1690028600121
496,1100101,1010011,1210222210201,1020122220121
497,1100102,2010011,1210224410404,4040144220121
498,1100103,3010011,1210226610609,9060166220121
499,1100111,1110011,1210244212321,1232124420121
500,1100112,2110011,1210246412544,4452146420121
501,1100113,3110011,1210248612769,9672168420121
502,1100121,1210011,1210266214641,1464126620121
503,1100122,2210011,1210268414884,4884148620121
504,1100201,1020011,1210442240401,1040422440121
